date,views
2009-12-02,1
2009-12-07,9053
2009-12-08,35397
2009-12-09,31502
2009-12-10,28253
2009-12-11,30658
2009-12-12,32490
2009-12-13,28067
2009-12-14,27892
2009-12-15,25896
2009-12-16,26023
2009-12-17,30049
2009-12-18,38467
2009-12-19,43563
2009-12-20,43320
2009-12-21,47321
2009-12-22,44883
2009-12-23,55735
2009-12-24,92358
2009-12-25,63553
2009-12-26,14192
2009-12-27,9985
2009-12-28,8256
2009-12-29,6980
2009-12-30,6880
2009-12-31,7550
2010-01-01,5177
2010-01-02,5165
2010-01-03,4124
2010-01-04,3743
2010-01-05,3583
2010-01-06,4359
2010-01-07,5148
2010-01-08,5045
2010-01-09,4794
2010-01-10,3808
2010-01-11,3025
2010-01-12,3491
2010-01-13,3257
2010-01-14,3504
2010-01-15,3816
2010-01-16,4680
2010-01-17,4344
2010-01-18,3835
2010-01-19,2991
2010-01-20,2235
2010-01-21,2500
2010-01-22,3294
2010-01-23,3621
2010-01-24,3204
2010-01-25,2638
2010-01-26,2415
2010-01-27,2432
2010-01-28,2735
2010-01-29,3649
2010-01-30,4685
2010-01-31,3836
2010-02-01,3230
2010-02-02,2920
2010-02-03,2412
2010-02-04,2550
2010-02-05,3098
2010-02-06,3228
2010-02-07,2791
2010-02-08,2386
2010-02-09,2680
2010-02-10,2970
2010-02-11,1469
2010-02-12,1431
2010-02-13,1659
2010-02-14,1352
2010-02-15,1264
2010-02-16,1114
2010-02-17,1125
2010-02-18,1139
2010-02-19,1216
2010-02-20,1439
2010-02-21,1198
2010-02-22,960
2010-02-23,1041
2010-02-24,968
2010-02-25,1116
2010-02-26,1154
2010-02-27,1303
2010-02-28,962
2010-03-01,761
2010-03-02,879
2010-03-03,869
2010-03-04,897
2010-03-05,966
2010-03-06,1079
2010-03-07,906
2010-03-08,722
2010-03-09,817
2010-03-10,806
2010-03-11,818
2010-03-12,786
2010-03-13,914
2010-03-14,800
2010-03-15,675
2010-03-16,673
2010-03-17,695
2010-03-18,638
2010-03-19,740
2010-03-20,909
2010-03-21,775
2010-03-22,778
2010-03-23,851
2010-03-24,807
2010-03-25,1096
